Chain;WEEK;QUARTER;DOVESales;FASales;NIVEASales;REXONASales;SANEXSales;VOGUESales;@8X4Sales;AXESales;DOVEPrice;FAPrice;NIVEAPrice;REXONAPrice;SANEXPrice;VOGUEPrice;@8X4Price;AXEPrice;DOVERPrice;FARPrice;NIVEARPrice;REXONARPrice;SANEXRPrice;VOGUERPrice;@8X4RPrice;AXERPrice;FADISP;NIVEADISP;REXONADISP;SANEXDISP;VOGUEDISP;@8X4DISP;DOVEDISP;AXEDISP;FAFEAT;NIVEAFEAT;REXONAFEAT;SANEXFEAT;VOGUEFEAT;@8X4FEAT;DOVEFEAT;AXEFEAT;FADF;NIVEADF;REXONADF;SANEXDF;VOGUEDF;@8X4DF;DOVEDF;AXEDF
ALBERT HEIJN;W05014;2,00;50,65;45,4;69,65;105,81;59,36;36,50;32,50;101,43;2,134649555775;1,514443219405;2,080258435032;2,099234476893;1,963106469003;1,973424657534;2,192923076923;2,837030464360;2,144785543218;1,512699905927;2,528183716075;2,101449275362;1,970806890299;1,98;2,22;2,860177808567;0,01;0,14;0,03;0;0,00;0;0,01;0,01;0,01;0,01;0,11;0;0;0;0;0,00;0,00;0,01;0,01;0,03;0;0;0;0,00
ALBERT HEIJN;W05015;2,00;59,65;47,7;43,89;109,72;59,38;34,04;33,36;98,88;2,138977367980;1,769085570470;2,491228070175;2,096974115931;1,960087571573;1,964747356052;2,178357314149;2,825343851133;2,152441229656;1,773097175682;2,491772741385;2,099247971502;1,968271137552;1,97;2,22;2,847673750718;0,01;0,04;0,05;0;0,00;0;0,02;0,01;0,01;0,00;0,06;0;0,01;0;0,04;0,00;0,01;0,04;0,02;0,02;0,02;0;0,02;0,00
ALBERT HEIJN;W05016;2,00;52,80;44,1;29,22;110,11;63,90;322,12;27,87;176,55;2,166666666667;1,807029478458;2,593086926762;2,132503859777;1,989984350548;1,418229231342;2,240043057051;2,908128009063;2,164503816794;1,804630285849;2,593086926762;2,132781968554;1,989984350548;2,75;2,25;2,776793018816;0,01;0,00;0,05;0;0,00;0;0,02;0,37;0,02;0,00;0;0;0,37;0;0;0,00;0,00;0,00;0;0;0,29;0;0;0,00
ALBERT HEIJN;W05017;2,00;54,77;48,3;35,54;119,38;66,49;65,39;34,42;161,93;2,152638305642;1,849326424870;2,572312886888;2,141899815715;1,990224093849;1,644441046032;2,222254503196;2,889952448589;2,152638305642;1,846383614252;2,578887627696;2,141899815715;1,990224093849;1,89;2,22;2,812891113892;0,01;0,00;0,02;0;0,13;0;0,01;0,30;0,00;0,04;0,04;0,03;0,01;0;0,04;0,00;0,00;0,03;0,05;0,02;0,05;0;0,08;0,00
ALBERT HEIJN;W05018;2,00;75,82;36,6;73,12;108,47;59,06;33,83;29,56;100,95;2,109997362174;1,830513100437;2,314277899344;2,127592882825;1,989332881815;1,932899793083;2,238497970230;2,869935611689;2,158619388910;1,830513100437;2,570886075949;2,127592882825;1,989332881815;1,97;2,25;2,871123640757;0,00;0,23;0,01;0;0,07;0;0,11;0,02;0,02;0,00;0,08;0;0,02;0;0,19;0,19;0,03;0,00;0,03;0;0,03;0;0,14;0,20
ALBERT HEIJN;W05019;2,00;52,79;37,8;69,56;107,52;54,38;33,18;31,08;90,72;2,140556923660;1,829055305636;2,324755606671;2,131510416667;1,989702096359;1,964737793852;2,242599742600;2,877645502646;2,148538476834;1,829055305636;2,422872340426;2,131510416667;1,989702096359;1,97;2,24;2,877645502646;0,00;0,29;0,01;0,02;0,00;0;0,08;0,04;0,00;0,00;0,01;0,02;0;0;0,01;0,00;0,00;0,00;0,01;0,03;0;0;0,01;0,00
ALBERT HEIJN;W05020;2,00;52,92;42,8;30,80;104,27;56,29;24,37;26,13;90,02;2,154761904762;1,838279971956;2,662662337662;2,129087944759;1,989163261681;1,956503898236;2,230769230769;2,855698733615;2,158597026306;1,838279971956;2,657284768212;2,130572636434;1,989854040584;1,97;2,23;2,855919003115;0,01;0,00;0,02;0;0,00;0;0,02;0,01;0,00;0,00;0,04;0;0;0;0;0,00;0,00;0,00;0,04;0;0;0;0;0,00
ALBERT HEIJN;W05021;2,00;65,37;52,5;42,68;143,59;68,94;36,52;37,42;129,93;2,143796848707;1,830953740720;2,853795688847;2,140190821088;1,989991296780;1,926615553122;2,243452699091;2,864311552374;2,157398680490;1,837423312883;2,853795688847;2,140190821088;1,989991296780;1,98;2,25;2,866337778463;0,00;0,00;0,01;0;0,02;0;0,02;0,01;0,00;0,02;0,03;0,07;0;0;0,02;0,00;0,03;0,02;0,01;0,02;0;0;0,01;0,00
ALBERT HEIJN;W05022;2,00;56,13;252,2;113,52;120,09;66,60;28,79;31,69;109,57;2,137003384999;1,358878801094;2,047216349542;2,142060121575;1,989939939940;1,985064258423;2,193120858315;2,866843113991;2,148719811149;1,584518167457;0,000000000000;2,142545332438;1,989939939940;1,99;2,19;2,866843113991;0,28;0,03;0,01;0;0,00;0;0,01;0,00;0,18;0,30;0,13;0,01;0,02;0;0,12;0,00;0,31;0,29;0,04;0,01;0,02;0;0,05;0,00
ALBERT HEIJN;W05023;2,00;52,68;141,7;42,80;104,55;64,46;29,71;25,74;104,99;2,134016704632;1,405983207507;2,682242990654;2,132376853180;1,990381632020;1,928980141367;2,236596736597;2,879131345842;2,146472392638;1,368231046931;2,851671309192;2,136152055857;1,990381632020;1,93;2,24;2,880938752147;0,32;0,11;0,02;0;0,00;0;0,02;0,01;0,03;0,10;0;0;0,01;0;0;0,00;0,01;0,09;0;0;0;0;0;0,00
